centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1606473.8758166605,-2153019.413791975,12,2,69.0,4244.88814236904,9288.877498325086,1875.431673196316,8,56
1606473.8758166605,-2152019.413791975,12,2,53.0,4759.256054183843,9417.45382461188,2663.8365578347107,8,57
1607473.8758166605,-2186019.413791975,13,2,67.0,4686.613010009276,10284.130676717346,3286.2110280893044,9,23
1607473.8758166605,-2185019.413791975,13,2,83.0,4204.44722104268,9760.986948443036,2286.9189262185814,9,24
1607473.8758166605,-2184019.413791975,13,2,100.0,3259.0951231479626,9316.1359285678,1287.6268243478569,9,25
1607473.8758166605,-2183019.413791975,13,2,116.0,2359.2425922147454,8418.792871532794,288.334722477133,9,26
1607473.8758166605,-2182019.413791975,13,2,132.0,1580.7243958232411,7491.508652022997,0.0,9,27
1607473.8758166605,-2181019.413791975,13,2,145.0,1099.4411337560132,6585.539488371431,0.0,9,28
1607473.8758166605,-2180019.413791975,13,2,155.0,946.4147724246428,5711.038331377532,0.0,9,29
1607473.8758166605,-2179019.413791975,13,2,162.0,42.50649589064066,4884.934727509416,0.0,9,30
1607473.8758166605,-2178019.413791975,13,2,166.0,376.2884367566594,4136.328778227319,0.0,9,31
1607473.8758166605,-2177019.413791975,13,2,167.0,753.2853670082696,3515.08808298676,0.0,9,32
1607473.8758166605,-2176019.413791975,13,2,166.0,1516.8113936388268,3098.785681637172,0.0,9,33
1607473.8758166605,-2175019.413791975,13,2,164.0,1375.0271723628948,2974.7438831407944,0.0,9,34
1607473.8758166605,-2174019.413791975,13,2,163.0,1048.7689500785866,3177.377793062637,0.0,9,35
1607473.8758166605,-2173019.413791975,13,2,162.0,998.3543974131348,3652.119628211486,0.0,9,36
1607473.8758166605,-2172019.413791975,13,2,164.0,914.0399507668144,3722.137766613756,0.0,9,37
1607473.8758166605,-2171019.413791975,13,2,169.0,759.3221565848305,4046.06491897217,0.0,9,38
1607473.8758166605,-2170019.413791975,13,2,176.0,535.9658500232457,4570.226810938611,0.0,9,39
1607473.8758166605,-2169019.413791975,13,2,186.0,272.25891229366965,5007.244482180572,0.0,9,40
1607473.8758166605,-2168019.413791975,13,2,197.0,42.55387521378282,4048.1786261815214,0.0,9,41
1607473.8758166605,-2167019.413791975,13,2,208.0,261.4210678973151,3114.96437774464,0.0,9,42
1607473.8758166605,-2166019.413791975,13,2,218.0,556.4266209090008,2240.1464148048867,0.0,9,43
1607473.8758166605,-2165019.413791975,13,2,226.0,850.4094797009914,1527.582680220067,0.0,9,44
1607473.8758166605,-2164019.413791975,13,2,231.0,854.1007872559352,1284.0411714791153,0.0,9,45
1607473.8758166605,-2163019.413791975,13,2,232.0,84.48392389551644,1721.6313819161735,0.0,9,46
1607473.8758166605,-2162019.413791975,13,2,230.0,856.3947927718438,2505.846663374224,0.0,9,47
1607473.8758166605,-2161019.413791975,13,2,222.0,1750.3633065749682,3405.0727430539373,0.0,9,48
1607473.8758166605,-2160019.413791975,13,2,211.0,1990.4230642473592,4348.536911494945,0.0,9,49
1607473.8758166605,-2159019.413791975,13,2,196.0,2546.319752480836,5312.723045273407,0.0,9,50
1607473.8758166605,-2158019.413791975,13,2,178.0,3228.942321646508,6288.106156938214,0.0,9,51
1607473.8758166605,-2157019.413791975,13,2,157.0,2983.505142749852,7270.181010543644,0.0,9,52
1607473.8758166605,-2156019.413791975,13,2,136.0,2693.498189412209,8256.560107648616,0.0,9,53
1607473.8758166605,-2155019.413791975,13,2,114.0,2734.462855062639,8363.51163642915,0.0,9,54
1607473.8758166605,-2154019.413791975,13,2,93.0,3104.330188937338,8267.618656692663,471.8701110534666,9,55
1607473.8758166605,-2153019.413791975,13,2,74.0,3703.7548079109024,8292.087168638509,1260.2749956918612,9,56
1607473.8758166605,-2152019.413791975,13,2,57.0,4351.126377760881,8435.869900141075,2048.679880330256,9,57
1608473.8758166605,-2187019.413791975,14,2,58.0,3939.710581749788,10108.795777046202,4323.123538501012,10,22
1608473.8758166605,-2186019.413791975,14,2,74.0,3692.326893840409,9471.07567776246,3323.8314366302875,10,23
1608473.8758166605,-2185019.413791975,14,2,92.0,3670.4431021803457,8900.269486132436,2324.539334759564,10,24
1608473.8758166605,-2184019.413791975,14,2,110.0,2839.317919631534,8410.013041467691,1325.2472328888396,10,25
1608473.8758166605,-2183019.413791975,14,2,128.0,2019.5044325389165,8015.100859598284,325.9551310181154,10,26
1608473.8758166605,-2182019.413791975,14,2,144.0,1048.2341387884362,7730.159391720824,0.0,10,27
1608473.8758166605,-2181019.413791975,14,2,158.0,186.8272152687274,7093.215355960243,0.0,10,28
1608473.8758166605,-2180019.413791975,14,2,169.0,54.46532364663346,6289.700513982699,0.0,10,29
1608473.8758166605,-2179019.413791975,14,2,177.0,301.78249137116376,5550.4018796082,0.0,10,30
1608473.8758166605,-2178019.413791975,14,2,180.0,1180.366802959144,4904.445890691655,0.0,10,31
1608473.8758166605,-2177019.413791975,14,2,181.0,1311.0395823396698,4393.201334367261,0.0,10,32
1608473.8758166605,-2176019.413791975,14,2,179.0,1060.0512458999906,4067.781512550828,0.0,10,33
1608473.8758166605,-2175019.413791975,14,2,177.0,470.63956146248063,3974.100515011456,0.0,10,34
1608473.8758166605,-2174019.413791975,14,2,174.0,58.094900671862845,4127.966009183983,0.0,10,35
1608473.8758166605,-2173019.413791975,14,2,173.0,2.40221705259266,4504.079466721515,0.0,10,36
1608473.8758166605,-2172019.413791975,14,2,174.0,83.41973087782887,4705.583659339673,0.0,10,37
1608473.8758166605,-2171019.413791975,14,2,178.0,229.0378463377224,4965.767750300994,0.0,10,38
1608473.8758166605,-2170019.413791975,14,2,185.0,427.5842414435997,5401.405476800851,0.0,10,39
1608473.8758166605,-2169019.413791975,14,2,194.0,695.2531078508321,4850.137970784959,0.0,10,40
1608473.8758166605,-2168019.413791975,14,2,205.0,987.6253020872967,3852.154101382131,0.0,10,41
1608473.8758166605,-2167019.413791975,14,2,217.0,1222.930195520107,2855.5812203368178,0.0,10,42
1608473.8758166605,-2166019.413791975,14,2,228.0,1509.0909057100514,1862.6854246182968,0.0,10,43
1608473.8758166605,-2165019.413791975,14,2,236.0,1806.590819151639,885.9175335382968,0.0,10,44
1608473.8758166605,-2164019.413791975,14,2,242.0,1187.4866220371389,316.3902042979751,0.0,10,45
