centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1602473.8758166605,-2169019.413791975,9,2,137.0,602.2054036526152,3995.280311986428,384.75771905793675,0.49,0.4677419393646594,0.5020697146592539,0.23483906203098057
1602473.8758166605,-2168019.413791975,9,2,146.0,1070.513499732095,4947.584920567933,78.15607986105903,0.49,0.4642057727254382,0.5275342692492309,0.2448844530959886
1602473.8758166605,-2167019.413791975,9,2,152.0,1225.9467570019717,5915.651132471898,0.0,0.49,0.4630321054248201,0.5403840845510076,0.25021518040771706
1602473.8758166605,-2166019.413791975,9,2,157.0,562.567657264165,6539.231667646583,0.0,0.49,0.46804124163512234,0.5520959049686371,0.25840365286318745
1602473.8758166605,-2165019.413791975,9,2,159.0,242.8455969359798,6330.624273189576,0.0,0.49,0.4704554439370268,0.561183405939147,0.2640117883711941
1602473.8758166605,-2164019.413791975,9,2,159.0,577.262217688747,6276.309152156399,0.0,0.49,0.4679302838814844,0.5617183185648561,0.2628450122674832
1602473.8758166605,-2163019.413791975,9,2,157.0,403.6193199942917,6380.228009921536,0.0,0.49,0.469241451096199,0.5536421265841152,0.2597918348663157
1602473.8758166605,-2162019.413791975,9,2,151.0,1400.1619835209906,6634.950063394031,0.0,0.49,0.4617166165891191,0.530101462835576,0.24475665386938483
1602473.8758166605,-2161019.413791975,9,2,144.0,2396.8848593762527,7024.08821334681,0.0,0.49,0.4541904213094419,0.502056409362344,0.22802921208938864
1602473.8758166605,-2160019.413791975,9,2,134.0,1794.6368290181017,7526.823241847966,0.0,0.49,0.4587379604430121,0.46301876014679355,0.2124042816765923
1602473.8758166605,-2159019.413791975,9,2,122.0,1268.876213226504,8122.088462899666,0.0,0.49,0.46270794764874923,0.4170562292840341,0.1929752319061416
1602473.8758166605,-2158019.413791975,9,2,109.0,1028.8160199474287,8791.107659693003,394.03396002216283,0.49,0.4645206279205299,0.36713844457387373,0.17054338080722248
1602473.8758166605,-2157019.413791975,9,2,95.0,810.783208999397,9518.341597644945,1182.438844660557,0.49,0.466166980735663,0.3140622435405198,0.1464054478343526
1602473.8758166605,-2156019.413791975,9,2,81.0,593.1948658162449,10291.45663424781,1970.8437292989518,0.49,0.46780997740108277,0.262542038619723,0.1228197851535268
1602473.8758166605,-2155019.413791975,9,2,67.0,181.00036652995612,11100.8708009664,2759.248613937346,0.49,0.4709224336012833,0.21271789314895864,0.10017362791224535
1603473.8758166605,-2179019.413791975,10,2,86.0,3273.5043940724745,4010.622440408034,2498.936186355824,0.49,0.44570623956721356,0.3106633812093026,0.13846460741003402
1603473.8758166605,-2178019.413791975,10,2,91.0,2287.6690817652716,3054.786543945176,2192.334547158946,0.49,0.4531192069009977,0.3347132296158165,0.1516649931427903
1603473.8758166605,-2177019.413791975,10,2,94.0,1319.6779113008456,2139.707760100088,1885.732907962068,0.49,0.4603979955956842,0.3517214276172113,0.1619318402830166
1603473.8758166605,-2176019.413791975,10,2,98.0,445.7312560751582,1350.917380225954,1579.1312687651903,0.49,0.46696961858968694,0.3721801920440599,0.1737968423254511
1603473.8758166605,-2175019.413791975,10,2,102.0,383.0250158282055,1035.1841564478157,1272.5296295683127,0.49,0.467441136808574,0.39014402399745207,0.18236936609644058
