centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index,V,RiskFire,RiskPoaching,R
1607473.8758166605,-2162019.413791975,13,2,230.0,856.3947927718438,2505.846663374224,0.0,9,47,0.49,0.4580588608674355,0.8662625035269558,0.39679921557773024
1609473.8758166605,-2166019.413791975,14,2,235.0,2463.609559321968,1980.1358595833008,0.0,11,43,0.49,0.44423478316320036,0.8927463812322622,0.39658899508644585
1607473.8758166605,-2165019.413791975,13,2,226.0,850.4094797009914,1527.582680220067,0.0,9,44,0.49,0.4581033023654733,0.8648910419701024,0.3962094425128191
1614473.8758166605,-2162019.413791975,18,2,230.0,1074.6016729902894,1177.77192738711,0.0,16,47,0.49,0.44676834430285783,0.8851822505027119,0.39547140846337414
1608473.8758166605,-2166019.413791975,14,2,228.0,1509.0909057100514,1862.6854246182968,0.0,10,43,0.49,0.45129214033009,0.867812584673889,0.39163699874286684
1613473.8758166605,-2166019.413791975,18,2,235.0,1198.6220120014375,3022.1705172035586,0.0,15,43,0.49,0.4458669917168625,0.8775788464770011,0.39128344027305484
1613473.8758166605,-2161019.413791975,18,2,229.0,662.0065958716481,2037.843021858616,0.0,15,48,0.49,0.4497669947072595,0.8691343349498983,0.3909079378273084
1608473.8758166605,-2161019.413791975,14,2,232.0,1469.7145851686798,3169.520691967655,0.0,10,48,0.49,0.4515832742507597,0.864258308832962,0.39028459690121325
1606473.8758166605,-2164019.413791975,12,2,218.0,63.383538633590575,2279.78523083452,0.0,8,45,0.49,0.46591291939702084,0.8241186446586648,0.38396752366243453
1606473.8758166605,-2163019.413791975,12,2,219.0,251.88071030235955,2551.9940407211648,0.0,8,46,0.49,0.464507380078082,0.8242065839701113,0.3828500409630621
1615473.8758166605,-2164019.413791975,19,2,226.0,1010.9088077151498,1902.0071857928808,0.0,17,45,0.49,0.44529518404157487,0.8596497581595551,0.3827978972709544
1611473.8758166605,-2160019.413791975,16,2,227.0,364.3738191914337,3831.4828996087904,0.0,13,49,0.49,0.4558429392901722,0.8363247454680777,0.38123273017527365
1615473.8758166605,-2163019.413791975,19,2,225.0,1425.5741515244074,1619.1013693232553,0.0,17,46,0.49,0.44229453369938326,0.8597886585372411,0.3802798238077473
1614473.8758166605,-2166019.413791975,18,2,227.0,827.3261454013992,3061.325705571755,0.0,16,43,0.49,0.44856548852954437,0.8471532929837882,0.38000373072668514
1607473.8758166605,-2166019.413791975,13,2,218.0,556.4266209090008,2240.1464148048867,0.0,9,43,0.49,0.46028615203223106,0.8246538767446451,0.37957675968525445
1612473.8758166605,-2160019.413791975,17,2,223.0,212.0560906001708,3304.309557310659,0.0,14,49,0.49,0.45499833588293226,0.828869286174666,0.377134145873947
1615473.8758166605,-2165019.413791975,19,2,223.0,532.0491654190752,2571.725767936984,0.0,17,44,0.49,0.4487603647492697,0.8389880425623741,0.37650458000056686
1606473.8758166605,-2165019.413791975,12,2,214.0,137.04457393733657,2425.318085032573,0.0,8,44,0.49,0.4653636619175766,0.8070681680340211,0.37558019809342214
1611473.8758166605,-2167019.413791975,16,2,231.0,2243.034321822745,3938.06642908764,0.0,13,42,0.49,0.44207103357445054,0.8495367551966245,0.37555559142925676
1610473.8758166605,-2160019.413791975,15,2,228.0,1364.0839994307555,4501.532668392041,0.0,12,49,0.49,0.45043931332309806,0.8305464738994378,0.37411078338618314
1610473.8758166605,-2167019.413791975,15,2,229.0,2874.49956313326,3325.2106953672605,0.0,12,42,0.49,0.4393193815022987,0.8508742390212654,0.37380554442306135
